"product_id","product_category_name","price"
"489ae2aa008f021502940f251d4cce7f","utilidades_domesticas","6735.00"
"69c590f7ffc7bf8db97190b6cb6ed62e","pcs","6729.00"
"1bdf5e6731585cf01aa8169c7028d6ad","artes","6499.00"
"a6492cc69376c469ab6f61d8f44de961","eletroportateis","4799.00"
"c3ed642d592594bb648ff4a04cee2747","eletroportateis","4690.00"
"259037a6a41845e455183f89c5035f18","pcs","4590.00"
"a1beef8f3992dbd4cd8726796aa69c53","instrumentos_musicais","4399.87"
"6cdf8fc1d741c76586d8b6b15e9eef30","consoles_games","4099.99"
"dd113cb02b2af9c8e5787e8f1f0722f6","esporte_lazer","4059.00"
"6902c1962dd19d540807d0ab8fade5c6","relogios_presentes","3999.90"
"4ca7b91a31637bd24fb8e559d5e015e4","eletroportateis","3999.00"
"4c50dcc50f1512f46096d6ef0142c4a9",NULL,"3980.00"
"0563d4cc419141eab2e5b438046e844e","ferramentas_jardim","3930.00"
"0eb41884a8773e019708fb8409fd8347","bebes","3899.00"
"1953c4e517bc25739bc4223ede2ff5bc","relogios_presentes","3700.00"
"071930404657f7cd416f75bd063a9d4b","informatica_acessorios","3699.99"
"dd113cb02b2af9c8e5787e8f1f0722f6","esporte_lazer","3690.00"
"5e954c4ed342c50436d25d5f50a34919","pcs","3549.00"
"34f99d82cfc355d08d8db780d14aa002","pcs","3399.99"
"0c104824e973388d487c67a3d346e96d","beleza_saude","3124.00"
"17d98fc630d23a628ec1130f8d69d1d2","cool_stuff","3109.99"
"6e729bd456c54469a9af4c8774f1eab7","ferramentas_jardim","3105.00"
"6054d161235b97a4aaccea2a086d30b8","construcao_ferramentas_seguranca","3099.90"
"0cf5798cf0a69ca39b286d63dd5a9501","esporte_lazer","3099.00"
"7e53e051875b2a0c9f22acd8a9a29a20","industria_comercio_e_negocios","3089.00"
"34f99d82cfc355d08d8db780d14aa002","pcs","2999.99"
"cc1829caca1897ee76144ef20a32330f","esporte_lazer","2999.90"
"470433f95ba906e17efac3fce39e9ffd","informatica_acessorios","2999.89"
"8b502ca34e28d30605bc667b965b6abf","relogios_presentes","2999.00"
"2b69866f22de8dad69c976771daba91c","agro_industria_e_comercio","2990.00"
"a8bac9bc4001039c362db47eee5aee9a","informatica_acessorios","2951.00"
"27274145782d0048827cb28b7786323b","portateis_casa_forno_e_cafe","2899.00"
"797897e182469fff3c330560d2fc851f","beleza_saude","2899.00"
"817880704f1fcf911b4342385f701fc1","beleza_saude","2799.65"
"d7324d4c913e7b424cb61675dafc8c10","esporte_lazer","2799.00"
"44c7b85d371365e52230e2e0efb8e0d8","beleza_saude","2749.65"
"15151e8a937f6a4d1a4f0c03c765c6f2","ferramentas_jardim","2749.00"
"0e030462875259ec0cb868f7ecf1fd5e",NULL,"2740.00"
"e51071c4622d7a15494656e912c8d55b","relogios_presentes","2700.00"
"3a1855685a49813f60e6193864f7215e","bebes","2699.00"
"e63cb7bb4e916e643c1d4785da2b2846","beleza_saude","2699.00"
"3ecf69ee1fe21cfd40b30cbea549e563","eletroportateis","2690.00"
"cea7edf64d9e93fbf6b89cc3ba537cd9","ferramentas_jardim","2690.00"
"86999f823d7791c5796d506ae0ed44ea","ferramentas_jardim","2689.00"
"a233df9a388d27dbdfd31731d4236db0","informatica_acessorios","2649.99"
"122bedead6e7541d311e6e0ab3cf248f","cool_stuff","2649.00"
"1ed724b5e4b638eeb4bd3487d88b8f28","cool_stuff","2649.00"
"5263b67de8e3edbade45ea923f6c4e79","esporte_lazer","2600.00"
"3ecf69ee1fe21cfd40b30cbea549e563","eletroportateis","2589.00"
"1231bc5d1cab6d3f64357eba69240f63","ferramentas_jardim","2550.00"
"ab50aa8d9af0addb7f96149c8b8cee86","cool_stuff","2499.99"
"993ac19aa975075775c16ba15426f8be","informatica_acessorios","2499.75"
"2b9de6c892dd8bfb80322b1650d9904e","pet_shop","2498.00"
"0abc19e41fdc9d6894b8cae651619253","eletronicos","2470.50"
"0abc19e41fdc9d6894b8cae651619253","eletronicos","2433.60"
"a859dc323c1bebb21c887054599fccce","telefonia","2428.00"
"982cc4c1cdb785c9cb1f2e48c1e4f903","relogios_presentes","2400.00"
"e9e425171123c1c10c30c2c7379b9544","relogios_presentes","2400.00"
"9ce74f28b3b6dee34ad83b1ede956664","relogios_presentes","2399.00"
"b7a60a397d4efd05c1b5d398fb9f9097","agro_industria_e_comercio","2399.00"
"ba58dd885694fa6a278aa4217365680a","instrumentos_musicais","2399.00"
"ada6a9116c85d8e56232e0a4265d7db9","eletrodomesticos_2","2350.00"
"a3cd9517ebf5a50dca25acce54f3b171","utilidades_domesticas","2338.08"
"a319b66ab6cabbb2810942860c1c8a3c","construcao_ferramentas_construcao","2300.00"
